id,total_len,nb_groups,len_groups,max_len_group
10000_MyriadPro-LightSemiExtIt_fs_50_R_Layer 2,19,2,"[13, 6]",13
10001_MyriadPro-LightSemiExtIt_fs_50_S_Layer 2,17,1,[17],17
10002_MyriadPro-LightSemiExtIt_fs_50_T_Layer 2,7,1,[7],7
10003_MyriadPro-LightSemiExtIt_fs_50_U_Layer 2,16,1,[16],16
10004_MyriadPro-LightSemiExtIt_fs_50_V_Layer 2,7,1,[7],7
10006_MyriadPro-LightSemiExtIt_fs_50_X_Layer 2,15,1,[15],15
10005_MyriadPro-LightSemiExtIt_fs_50_W_Layer 2,15,1,[15],15
10007_MyriadPro-LightSemiExtIt_fs_50_Y_Layer 2,13,1,[13],13
10008_MyriadPro-LightSemiExtIt_fs_50_Z_Layer 2,11,1,[11],11
1000_AJensonPro-BoldItCapt_fs_50_H_Layer 2,19,1,[19],19
10009_MyriadPro-LightSemiExtIt_fs_50_a_Layer 2,14,2,"[8, 6]",8
1000_Arial Narrow Bold_fs_50_H_Layer 2,13,1,[13],13
10010_MyriadPro-LightSemiExtIt_fs_50_b_Layer 2,14,2,"[9, 5]",9
10011_MyriadPro-LightSemiExtIt_fs_50_c_Layer 2,8,1,[8],8
10012_MyriadPro-LightSemiExtIt_fs_50_d_Layer 2,15,2,"[10, 5]",10
10014_MyriadPro-LightSemiExtIt_fs_50_f_Layer 2,12,1,[12],12
10013_MyriadPro-LightSemiExtIt_fs_50_e_Layer 2,15,2,"[9, 6]",9
10015_MyriadPro-LightSemiExtIt_fs_50_g_Layer 2,16,2,"[10, 6]",10
10016_MyriadPro-LightSemiExtIt_fs_50_h_Layer 2,14,1,[14],14
10019_MyriadPro-LightSemiExtIt_fs_50_k_Layer 2,9,1,[9],9
10017_MyriadPro-LightSemiExtIt_fs_50_i_Layer 2,4,1,[4],4
10018_MyriadPro-LightSemiExtIt_fs_50_j_Layer 2,8,1,[8],8
1001_AJensonPro-BoldItCapt_fs_50_I_Layer 2,10,1,[10],10
1001_Arial Narrow Bold_fs_50_I_Layer 2,5,1,[5],5
10020_MyriadPro-LightSemiExtIt_fs_50_l_Layer 2,3,1,[3],3
10021_MyriadPro-LightSemiExtIt_fs_50_m_Layer 2,24,1,[24],24
10022_MyriadPro-LightSemiExtIt_fs_50_n_Layer 2,15,1,[15],15
10024_MyriadPro-LightSemiExtIt_fs_50_p_Layer 2,15,2,"[10, 5]",10
10023_MyriadPro-LightSemiExtIt_fs_50_o_Layer 2,10,2,"[5, 5]",5
10026_MyriadPro-LightSemiExtIt_fs_50_r_Layer 2,7,1,[7],7
10025_MyriadPro-LightSemiExtIt_fs_50_q_Layer 2,14,2,"[8, 6]",8
10029_MyriadPro-LightSemiExtIt_fs_50_u_Layer 2,15,1,[15],15
10027_MyriadPro-LightSemiExtIt_fs_50_s_Layer 2,13,1,[13],13
10028_MyriadPro-LightSemiExtIt_fs_50_t_Layer 2,12,1,[12],12
1002_AJensonPro-BoldItCapt_fs_50_J_Layer 2,11,1,[11],11
1002_Arial Narrow Bold_fs_50_J_Layer 2,12,1,[12],12
10031_MyriadPro-LightSemiExtIt_fs_50_w_Layer 2,16,1,[16],16
10030_MyriadPro-LightSemiExtIt_fs_50_v_Layer 2,8,1,[8],8
10032_MyriadPro-LightSemiExtIt_fs_50_x_Layer 2,12,1,[12],12
10033_MyriadPro-LightSemiExtIt_fs_50_y_Layer 2,10,1,[10],10
10034_MyriadPro-LightSemiExtIt_fs_50_z_Layer 2,9,1,[9],9
10035_MyriadPro-LightSemiExtIt_fs_50_0_Layer 2,16,2,"[8, 8]",8
10036_MyriadPro-LightSemiExtIt_fs_50_1_Layer 2,8,1,[8],8
10037_MyriadPro-LightSemiExtIt_fs_50_2_Layer 2,13,1,[13],13
10038_MyriadPro-LightSemiExtIt_fs_50_3_Layer 2,12,1,[12],12
10039_MyriadPro-LightSemiExtIt_fs_50_4_Layer 2,17,2,"[12, 5]",12
1003_AJensonPro-BoldItCapt_fs_50_K_Layer 2,20,1,[20],20
1003_Arial Narrow Bold_fs_50_K_Layer 2,13,1,[13],13
10040_MyriadPro-LightSemiExtIt_fs_50_5_Layer 2,12,1,[12],12
10042_MyriadPro-LightSemiExtIt_fs_50_7_Layer 2,7,1,[7],7
10041_MyriadPro-LightSemiExtIt_fs_50_6_Layer 2,15,2,"[10, 5]",10
10044_MyriadPro-LightSemiExtIt_fs_50_9_Layer 2,15,2,"[10, 5]",10
10043_MyriadPro-LightSemiExtIt_fs_50_8_Layer 2,18,3,"[8, 5, 5]",8
10047_MyriadPro-Regular_fs_50_C_Layer 2,12,1,[12],12
10045_MyriadPro-Regular_fs_50_A_Layer 2,14,2,"[9, 5]",9
10046_MyriadPro-Regular_fs_50_B_Layer 2,18,3,"[8, 5, 5]",8
10049_MyriadPro-Regular_fs_50_E_Layer 2,13,1,[13],13
10048_MyriadPro-Regular_fs_50_D_Layer 2,11,2,"[6, 5]",6
1004_Arial Narrow Bold_fs_50_L_Layer 2,7,1,[7],7
1004_AJensonPro-BoldItCapt_fs_50_L_Layer 2,15,1,[15],15
10050_MyriadPro-Regular_fs_50_F_Layer 2,11,1,[11],11
10051_MyriadPro-Regular_fs_50_G_Layer 2,14,1,[14],14
