,id,total_len,nb_groups,len_groups,max_len_group
0,10000_Layer 10,8,1,[8],8
1,10000_Layer 11,10,1,[10],10
2,10000_Layer 12,8,1,[8],8
3,10000_Layer 13,10,1,[10],10
4,10000_Layer 14,8,1,[8],8
5,10000_Layer 15,10,1,[10],10
6,10000_Layer 16,10,1,[10],10
7,10000_Layer 17,8,1,[8],8
8,10000_Layer 2,6,1,[6],6
9,10000_Layer 18,12,1,[12],12
10,10000_Layer 19,10,1,[10],10
11,10000_Layer 20,10,1,[10],10
12,10000_Layer 22,6,1,[6],6
13,10000_Layer 21,8,1,[8],8
14,10000_Layer 23,12,1,[12],12
15,10000_Layer 24,11,1,[11],11
16,10000_Layer 25,16,1,[16],16
17,10000_Layer 3,12,1,[12],12
18,10000_Layer 26,24,1,[24],24
19,10000_Layer 4,21,2,"[13, 8]",13
20,10000_Layer 8,8,1,[8],8
21,10000_Layer 9,8,1,[8],8
22,10000_Layer 5,12,2,"[6, 6]",6
23,10000_Layer 7,23,2,"[15, 8]",15
24,10001_Layer 3,8,1,[8],8
25,10001_Layer 2,8,1,[8],8
27,10001_Layer 5,10,1,[10],10
28,10001_Layer 6,10,1,[10],10
29,10001_Layer 4,10,1,[10],10
30,10002_Layer 10,6,1,[6],6
31,10001_Layer 7,8,1,[8],8
32,10001_Layer 8,10,1,[10],10
33,10002_Layer 11,8,1,[8],8
34,10001_Layer 9,20,1,[20],20
35,10002_Layer 2,10,1,[10],10
36,10002_Layer 12,14,1,[14],14
37,10002_Layer 3,10,1,[10],10
38,10002_Layer 4,10,1,[10],10
39,10002_Layer 6,10,1,[10],10
40,10002_Layer 5,12,1,[12],12
41,10002_Layer 7,10,1,[10],10
42,10002_Layer 8,8,1,[8],8
43,10003_Layer 10,12,1,[12],12
44,10003_Layer 2,6,1,[6],6
45,10002_Layer 9,9,1,[9],9
46,10003_Layer 3,8,1,[8],8
47,10003_Layer 4,10,1,[10],10
48,10003_Layer 5,10,1,[10],10
49,10003_Layer 6,12,1,[12],12
50,10003_Layer 7,18,2,"[10, 8]",10
51,10003_Layer 9,12,1,[12],12
